Date,Stock Open (CAD),Stock Close (CAD),Mutual Fund Price
2015-06-18,28.629,28.775,8.68
2015-06-19,28.737,28.487,8.71
2015-06-22,28.687,28.714,8.7
2015-06-23,28.685,28.584,8.68
2015-06-24,28.624,28.827,8.75
2015-06-25,28.995,28.689,8.75
2015-06-26,28.728,28.521,8.63
2015-06-29,28.230,28.021,8.72
2015-06-30,28.255,28.224,8.69
2015-07-01,28.554,28.487,8.63
2015-07-02,28.449,28.451,8.68
2015-07-06,28.113,28.352,8.68
2015-07-07,28.327,28.282,8.72
2015-07-08,28.010,27.580,8.67
2015-07-09,27.868,27.017,8.67
2015-07-10,27.438,27.740,8.57
2015-07-13,28.134,28.275,8.56
2015-07-14,28.361,28.264,8.7
2015-07-15,28.289,28.536,8.72
2015-07-16,28.743,28.917,8.66
2015-07-17,29.045,29.166,8.63
2015-07-20,29.470,29.718,8.66
2015-07-21,29.893,29.421,8.68
2015-07-22,27.449,28.176,8.79
2015-07-23,28.397,28.163,8.74
2015-07-24,28.199,28.014,8.81
2015-07-27,27.697,27.625,8.87
2015-07-28,27.762,27.762,8.8
2015-07-29,27.711,27.674,8.77
2015-07-30,27.524,27.535,8.75
2015-07-31,27.587,27.294,8.54
2015-08-03,27.339,26.651,8.6
2015-08-04,26.421,25.796,8.65
2015-08-05,25.415,25.967,8.66
2015-08-06,26.213,26.023,8.62
2015-08-07,25.899,26.111,8.65
2015-08-10,26.340,27.061,8.48
2015-08-11,26.629,25.652,8.53
2015-08-12,25.435,26.048,8.67
2015-08-13,26.229,26.028,8.79
2015-08-14,25.840,26.211,8.85
2015-08-17,26.229,26.482,8.84
2015-08-18,26.317,26.333,8.91
2015-08-19,26.242,25.996,9.04
2015-08-20,25.786,25.463,9.07
2015-08-21,24.961,23.905,9.06
2015-08-24,21.444,23.309,9.03
2015-08-25,25.115,23.449,8.97
2015-08-26,24.206,24.794,8.95
2015-08-27,25.368,25.524,8.87
2015-08-28,25.354,25.607,8.99
2015-08-31,25.322,25.487,9.06
2015-09-01,24.898,24.348,9.06
2015-09-02,24.916,25.393,8.99
2015-09-03,25.426,24.947,8.97
2015-09-04,24.631,24.699,8.94
2015-09-08,25.259,25.386,8.98
2015-09-09,25.713,24.898,8.86
2015-09-10,24.925,25.445,8.81
2015-09-11,25.268,25.815,8.89
2015-09-14,26.351,26.064,8.82
2015-09-15,26.204,26.283,8.83
2015-09-16,26.276,26.312,8.83
2015-09-17,26.143,25.750,8.86
2015-09-18,25.363,25.643,8.92
2015-09-21,25.693,26.041,8.91
2015-09-22,25.628,25.632,8.85
2015-09-23,25.684,25.840,8.61
2015-09-24,25.598,25.994,8.28
2015-09-25,26.319,25.928,7.94
2015-09-28,25.734,25.415,7.92
2015-09-29,25.503,24.651,8.3
2015-09-30,24.902,24.931,8.52
2015-10-01,24.653,24.769,8.54
2015-10-02,24.414,24.950,8.44
2015-10-05,24.836,25.040,8.2
2015-10-06,25.006,25.160,8.38
2015-10-07,25.257,25.040,8.34
2015-10-08,24.907,24.751,8.24
2015-10-09,24.864,25.343,8.43
2015-10-12,25.481,25.225,8.35
2015-10-13,25.049,25.268,8.41
2015-10-14,25.155,24.911,8.48
2015-10-15,25.074,25.284,8.44
2015-10-16,25.266,25.099,8.55
2015-10-19,25.044,25.255,8.62
2015-10-20,25.166,25.716,8.62
2015-10-21,25.768,25.713,8.49
2015-10-22,25.842,26.107,8.5
2015-10-23,26.378,26.916,8.4
2015-10-26,26.690,26.057,8.39
2015-10-27,26.084,25.892,8.36
2015-10-28,26.430,26.959,8.32
2015-10-29,26.830,27.244,8.03
2015-10-30,27.348,27.011,7.99
2015-11-02,27.305,27.391,8.18
2015-11-03,27.302,27.705,8.24
2015-11-04,27.831,27.576,8.4
2015-11-05,27.660,27.449,8.52
2015-11-06,27.492,27.481,8.48
2015-11-09,27.458,27.369,8.52
2015-11-10,26.536,26.507,8.58
2015-11-11,26.416,26.357,8.62
2015-11-12,26.391,26.268,8.65
2015-11-13,26.150,25.501,8.6
2015-11-16,25.283,25.919,8.56
2015-11-17,26.087,25.808,8.73
2015-11-18,26.278,26.625,8.77
2015-11-19,26.704,26.963,8.8
2015-11-20,27.058,27.081,8.73
2015-11-23,27.074,26.729,8.66
2015-11-24,26.634,26.986,8.78
2015-11-25,27.061,26.793,9
2015-11-27,26.852,26.743,9.01
2015-11-30,26.784,26.854,9.03
2015-12-01,26.956,26.636,9.12
2015-12-02,26.636,26.396,9.17
2015-12-03,26.457,26.150,9.12
2015-12-04,26.171,27.020,9.19
2015-12-07,27.008,26.850,9.22
2015-12-08,26.677,26.838,9.2
2015-12-09,26.704,26.246,9.25
2015-12-10,26.341,26.371,9.23
2015-12-11,26.148,25.692,9.14
2015-12-14,25.465,25.533,9.17
2015-12-15,25.410,25.081,9.14
2015-12-16,25.213,25.274,9.03
2015-12-17,25.429,24.739,8.88
2015-12-18,24.723,24.069,8.99
2015-12-21,24.353,24.364,8.99
2015-12-22,24.380,24.341,9.17
2015-12-23,24.350,24.655,9.14
2015-12-24,24.743,24.523,9.22
2015-12-28,24.423,24.248,9.21
2015-12-29,24.280,24.684,9.21
2015-12-30,24.648,24.362,9.22
2015-12-31,24.291,23.894,9.22
2016-01-04,23.293,23.914,9.16
2016-01-05,24.005,23.315,9.26
2016-01-06,22.827,22.859,9.19
2016-01-07,22.400,21.894,9.02
2016-01-08,22.371,22.010,9.2
